season,enso_state,Alaskan Ridge,Greenland High,Pacific Ridge,Pacific Trough,TOTAL
DJF,C-cold,237,265,472,477,1451
DJF,C-warm,149,242,169,347,907
DJF,E-cold,55,101,142,125,423
DJF,E-warm,36,50,50,213,349
DJF,neutral,449,858,812,928,3047
JJA,C-cold,217,312,198,190,917
JJA,C-warm,19,29,14,19,81
JJA,E-cold,329,359,327,423,1438
JJA,E-warm,155,303,106,213,777
JJA,neutral,643,841,803,801,3088
MAM,C-cold,240,340,341,414,1335
MAM,C-warm,80,135,76,127,418
MAM,E-cold,184,270,309,196,959
MAM,E-warm,83,142,107,176,508
MAM,neutral,670,1008,710,969,3357
SON,C-cold,239,313,275,477,1304
SON,C-warm,98,117,113,126,454
SON,E-cold,158,136,184,218,696
SON,E-warm,138,166,183,198,685
SON,neutral,581,797,792,1013,3183
